"dataset_id","dataset_name","original_code","original_name","standardized_code","standardized_name"
1,"Varieties of Democracy (V-Dem)","GAB","Gabon","GAB","Gabon"
1,"Varieties of Democracy (V-Dem)","GMB","The Gambia","GMB","Gambia"
1,"Varieties of Democracy (V-Dem)","GEO","Georgia","GEO","Georgia"
1,"Varieties of Democracy (V-Dem)","GNB","Guinea-Bissau","GNB","Guinea-Bissau"
1,"Varieties of Democracy (V-Dem)","JAM","Jamaica","JAM","Jamaica"
1,"Varieties of Democracy (V-Dem)","KAZ","Kazakhstan","KAZ","Kazakhstan"
1,"Varieties of Democracy (V-Dem)","KGZ","Kyrgyzstan","KGZ","Kyrgyz Republic"
1,"Varieties of Democracy (V-Dem)","LAO","Laos","LAO","Laos"
1,"Varieties of Democracy (V-Dem)","LBY","Libya","LBY","Libya"
1,"Varieties of Democracy (V-Dem)","MDG","Madagascar","MDG","Madagascar"
1,"Varieties of Democracy (V-Dem)","MDA","Moldova","MDA","Moldova"
1,"Varieties of Democracy (V-Dem)","NAM","Namibia","NAM","Namibia"
1,"Varieties of Democracy (V-Dem)","PSE","Palestine/West Bank","PSE","West Bank and Gaza"
1,"Varieties of Democracy (V-Dem)","RWA","Rwanda","RWA","Rwanda"
1,"Varieties of Democracy (V-Dem)","SOM","Somalia","SOM","Somalia"
1,"Varieties of Democracy (V-Dem)","LKA","Sri Lanka","LKA","Sri Lanka"
1,"Varieties of Democracy (V-Dem)","SWZ","Eswatini","SWZ","Eswatini"
1,"Varieties of Democracy (V-Dem)","TJK","Tajikistan","TJK","Tajikistan"
1,"Varieties of Democracy (V-Dem)","TGO","Togo","TGO","Togo"
1,"Varieties of Democracy (V-Dem)","TTO","Trinidad and Tobago","TTO","Trinidad & Tobago"
1,"Varieties of Democracy (V-Dem)","TKM","Turkmenistan","TKM","Turkmenistan"
1,"Varieties of Democracy (V-Dem)","SOL","Somaliland","SOL","Somaliland"
1,"Varieties of Democracy (V-Dem)","UZB","Uzbekistan","UZB","Uzbekistan"
1,"Varieties of Democracy (V-Dem)","AUT","Austria","AUT","Austria"
1,"Varieties of Democracy (V-Dem)","BHR","Bahrain","BHR","Bahrain"
1,"Varieties of Democracy (V-Dem)","BRB","Barbados","BRB","Barbados"
1,"Varieties of Democracy (V-Dem)","BEL","Belgium","BEL","Belgium"
1,"Varieties of Democracy (V-Dem)","BIH","Bosnia and Herzegovina","BIH","Bosnia & Herzegovina"
1,"Varieties of Democracy (V-Dem)","BGR","Bulgaria","BGR","Bulgaria"
1,"Varieties of Democracy (V-Dem)","COM","Comoros","COM","Comoros"
1,"Varieties of Democracy (V-Dem)","HRV","Croatia","HRV","Croatia"
1,"Varieties of Democracy (V-Dem)","CUB","Cuba","CUB","Cuba"
1,"Varieties of Democracy (V-Dem)","CYP","Cyprus","CYP","Cyprus"
1,"Varieties of Democracy (V-Dem)","CZE","Czechia","CZE","Czechia"
1,"Varieties of Democracy (V-Dem)","DNK","Denmark","DNK","Denmark"
1,"Varieties of Democracy (V-Dem)","GNQ","Equatorial Guinea","GNQ","Equatorial Guinea"
1,"Varieties of Democracy (V-Dem)","EST","Estonia","EST","Estonia"
1,"Varieties of Democracy (V-Dem)","FJI","Fiji","FJI","Fiji"
1,"Varieties of Democracy (V-Dem)","FIN","Finland","FIN","Finland"
1,"Varieties of Democracy (V-Dem)","GRC","Greece","GRC","Greece"
1,"Varieties of Democracy (V-Dem)","GUY","Guyana","GUY","Guyana"
1,"Varieties of Democracy (V-Dem)","HKG","Hong Kong","HKG","Hong Kong SAR China"
1,"Varieties of Democracy (V-Dem)","ISL","Iceland","ISL","Iceland"
1,"Varieties of Democracy (V-Dem)","ISR","Israel","ISR","Israel"
1,"Varieties of Democracy (V-Dem)","KWT","Kuwait","KWT","Kuwait"
1,"Varieties of Democracy (V-Dem)","LTU","Lithuania","LTU","Lithuania"
1,"Varieties of Democracy (V-Dem)","LUX","Luxembourg","LUX","Luxembourg"
1,"Varieties of Democracy (V-Dem)","MKD","North Macedonia","MKD","North Macedonia"
1,"Varieties of Democracy (V-Dem)","MYS","Malaysia","MYS","Malaysia"
1,"Varieties of Democracy (V-Dem)","MLT","Malta","MLT","Malta"
1,"Varieties of Democracy (V-Dem)","MUS","Mauritius","MUS","Mauritius"
1,"Varieties of Democracy (V-Dem)","MNE","Montenegro","MNE","Montenegro"
1,"Varieties of Democracy (V-Dem)","NZL","New Zealand","NZL","New Zealand"
1,"Varieties of Democracy (V-Dem)","NOR","Norway","NOR","Norway"
1,"Varieties of Democracy (V-Dem)","OMN","Oman","OMN","Oman"
1,"Varieties of Democracy (V-Dem)","PRY","Paraguay","PRY","Paraguay"
1,"Varieties of Democracy (V-Dem)","ROU","Romania","ROU","Romania"
