"dataset_id","dataset_name","original_code","original_name","reason"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Oceania","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Small Island Developing States","Could not map country name to standard code"
